"","Age","Gender","Race","Religion","Politics","SES","Education","Response_1","Response_2","Response_3","Rank","RGP_1","RGP_2","RGP_3","RGP_4","RGP_5","RGP_6","RGP_7","RGP_8","RGP_9","Condition","sdo_mean","wps_mean","wg_mean","mrs_mean","cse_total","cse_private","cse_public","cse_membership","cse_identity"
"235","18","Female","White","Spiritual",2,8,"Master's Degree","politicians ","influencers","celebrities","7","100","84","100","50","100","100","50","100","100","LowSESManipulation",1.4375,7,7,1,3.3125,3,2.75,4,3.5
"236","20","Female","White","Atheist",3,3,"High School Diploma","The homeless","Fast Food Workers","Janitors","5","100","50","100","9","53","100","54","100","100","HighSESManipulation",2,5.8,5.2,1.33333333333333,3.1875,3.25,4.5,3.5,1.5
"237","18","Female","White","Other Christian",7,10,"Bachelor's Degree","President","CEO's","Celebrities","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.5625,4,5.6,1.33333333333333,3.875,3.75,6,4,1.75
"238","19","Male","White","Catholic",7,11,"Master's Degree","Black","Immigrants","Dropouts","9","90","100","90","95","90","75","98","50","10","HighSESManipulation",3.1875,5.8,5,3.5,5.0625,6.25,5.75,6,2.25
"239","19","Male","White","Catholic",7,10,"Master's Degree","Black","Immigrants","Dropouts","8","91","98","91","96","93","67","97","76","21","LowSESManipulation",3.5625,5.6,4.2,3.83333333333333,5.125,5.75,5.75,6,3
"240","25","Female","White","Agnostic",2,1,"Bachelor's Degree","celebrities","corporate CEOs","people with generational wealth","5","90","50","90","20","90","90","50","90","80","LowSESManipulation",1,7,7,1,3.9375,3.25,4.25,5,3.25
"241","18","Female","White","Catholic",7,11,"Bachelor's Degree","homeless","hungry","jobless","7","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.4375,5.8,4,2.33333333333333,4.375,5,4.25,4.25,4
"242","18","Female","White","Protestant Christian",8,12,"Bachelor's Degree","homeless people","people with low income","unemployed people","8","100","100","100","100","80","100","100","50","85","HighSESManipulation",2.5,3.8,3.8,1.66666666666667,5.1875,6.75,6,6.5,1.5
"243","18","Female","White","Other Christian",4,12,"Master's Degree","Celeberties","Millionaries","Politicians","6","100","81","100","77","100","100","65","100","100","LowSESManipulation",2.5,6,7,1,3.875,3.25,5,3.75,3.5
"244","18","Female","White","Spiritual",3,8,"Some College","People that fall victim to racial discrimination/inequality ","people that fall victim to gender inequality ","people born into poverty ","6","99","31","98","42","98","98","70","83","80","HighSESManipulation",2,6.4,6.4,1.33333333333333,3.75,2.75,4.25,3.75,4.25
"245","19","she/they","White","Prefer Not To Answer",5,9,"Master's Degree","Doctors","Politicians","Scientists","5","100","100","100","26","100","100","86","100","100","LowSESManipulation",1.75,6,6.4,2.5,3.5625,3.75,4,4,2.5
"246","18","Female","White","Agnostic",5,2,"Less Than High School","Pedophiles/Rapists","Animal Abusers","Serial Killers","10","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.125,5.4,5.6,2.16666666666667,3.9375,3.75,4.75,3,4.25
"247","21","Female","White","Other Christian",3,11,"Some College","Celebrities","Billionares","World leaders","5","100","81","100","80","100","100","100","100","100","LowSESManipulation",2.33333333333333,6.8,5.8,1,3.625,3.75,3.5,4,3.25
"248","18","Female","White","Catholic",5,12,"Master's Degree","homeless people","people in jail","drug dealers","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",3.5625,5.6,4.2,3.66666666666667,4.5625,5.75,6.25,5.25,1
"249","18","Female","White","Catholic",5,12,"Master's Degree","people in jail","homeless people","drug addicts","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",3.6875,4.8,5,3.66666666666667,4.5,5,5,4.5,3.5
"250","40","Male","White","Other Christian",8,12,"High School Diploma","Wealthy","educated","","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",3.625,1.2,2.2,3.83333333333333,4.375,4,4,7,2.5
"251","19","Female","White","Catholic",5,10,"Master's Degree","government ","celebrities ","people who do illegal stuff ","10","100","62","100","100","100","100","100","100","100","LowSESManipulation",3.3125,7,6.8,1.83333333333333,3.5,4,4.25,4,1.75
"252","18","Male","White","Atheist",3,12,"Bachelor's Degree","Mexican immigrants","Black people living in poor neighborhoods","Homeless individuals","9","80","80","70","70","80","70","80","80","70","HighSESManipulation",2.4375,6,2.6,1.66666666666667,5,5.5,6.25,4,4.25
"253","19","Female","White","Prefer Not To Answer",5,9,"Associate's Degree","Doctors and surgeons ","Political parties - such as president ","Lawyers and judges ","6","50","50","50","50","50","50","50","50","50","LowSESManipulation",2.5,5,1.6,3.33333333333333,5.5625,7,7,6,2.25
"254","20","Male","White","Catholic",6,10,"Master's Degree","Homeless","Minorities ","Women","5","100","100","100","100","100","88","100","100","100","HighSESManipulation",4.125,4.2,4,3.16666666666667,4,4.5,4,4.25,3.25
"255","18","Female","White","Prefer Not To Answer",3,11,"Some College","Rich people","White people","Men ","5","100","50","100","70","100","100","80","100","100","LowSESManipulation",1.1875,6,4.6,1.83333333333333,4.1875,4.5,4.25,4,4
"256","41","Female","White","Other Christian",7,10,"Some College","Homeless","Poor ","People with illnesses","7","86","94","85","99","95","90","89","80","65","HighSESManipulation",4.8125,3.6,1.4,2.33333333333333,5.3125,5.5,5.25,6.5,4
"257","19","Female","White","Other Christian",5,12,"Associate's Degree","Political leaders","Doctors","Billionares","2","100","100","100","100","100","100","100","100","100","LowSESManipulation",1,6.4,5.8,1,4.375,4.25,5.25,5,3
"258","19","Female","White","Greek Orthodox",5,11,"Associate's Degree","homeless people","people who just don't wanna work/ support their families","people with bad behaviors/ tendencies","10","90","89","75","91","91","90","89","1","45","HighSESManipulation",3.375,5.2,6,3.16666666666667,4.125,4.5,4,4,4
"259","18","Female","White","Other Christian",2,12,"Master's Degree","homeless minority youth","illegal immigrants","single-family homes","8","92","91","91","91","92","93","91","92","92","HighSESManipulation",1.625,7,5.6,1.16666666666667,4.625,5.25,5.5,4.5,3.25
"260","18","Female","White","Agnostic ",4,8,"Associate's Degree","Millionaires ","Doctors","People in political positions of power ","5","95","70","80","25","95","100","85","100","100","LowSESManipulation",2.6875,5.2,6,3,3.5,4.5,3.75,4.25,1.5
"261","19","Female","White","Catholic",7,12,"Bachelor's Degree","Individuals who didn't finish high school, no college experience, very poor education.","Individuals with addictions to drugs or alcohol who do not have stability in life.","Individuals who were not from a stable family, who were not able to be set up for a bright future","9","90","80","30","100","70","75","65","30","0","HighSESManipulation",4.125,5,5.8,2.33333333333333,5.3125,5.75,5.5,5.5,4.5
"262","18","Female","White","Prefer Not To Answer",5,12,"Bachelor's Degree","actors/actresses","multimillion business owners","major investors ","3","80","75","80","75","80","75","70","85","85","LowSESManipulation",3.375,5.6,3.6,2.66666666666667,3.5625,4.25,4.25,4,1.75
"263","18","Female","White","Catholic",7,11,"High School Diploma","The top 1% or those who own the big companies like Amazon, Apple, Walmart, etc.","Investors with stock in companies like the ones in example one","People who come from money (hierarchal)","6","95","87","81","97","94","87","92","89","81","LowSESManipulation",2.375,5,5.4,1.66666666666667,4.125,4,3.75,4.5,4.25
"264","18","Female","White","Catholic",3,11,"Master's Degree","people in minority groups ","immigrants","the homeless","6","100","40","83","29","73","100","90","80","70","HighSESManipulation",2.75,6.8,5,1,4.0625,3.5,4,4,4.75
"265","18","Female","White","Catholic",4,12,"Master's Degree","Those who earn more than 6 figures","Those who has master degrees or higher","Those who own a house more than 500,000$","10","100","65","100","100","100","100","100","100","100","LowSESManipulation",2.1875,5.4,6.6,2,4.25,4.75,5,5.25,2
"266","19","Female","White","Catholic",3,10,"Master's Degree","Minorities","People stuck in generational poverty","drug or alcohol addicts ","7","95","90","90","75","95","95","85","95","95","HighSESManipulation",1.375,6.2,5.6,1.16666666666667,3.5625,3.75,4.25,4,2.25
"267","18","Female","White","Agnostic",2,9,"Some College","people who earn below 10,000 dollars a year","people who are not allowed to vote","people who never graduated high school","7","100","90","90","30","100","90","90","100","100","HighSESManipulation",2,7,6.8,1.16666666666667,4.1875,4,6.5,3.75,2.5
"268","18","Female","White","Atheist",2,1,"Associate's Degree","Homeless people","Poor People","people from poor countries","5","100","50","100","50","100","100","50","100","100","HighSESManipulation",1.0625,4.6,5.8,1.16666666666667,3.3125,3.5,4,4,1.75
"269","19","Male","White","Agnostic",5,6,"Some College","government powers","state government powers","celeberties","3","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.875,5.6,6.8,1.66666666666667,3.6875,4.25,4.25,4.25,2
"270","18","Female","White","Agnostic",5,7,"Associate's Degree","poverty","lower class","people who live in ""ghetto"" places","6","70","68","60","52","52","58","80","82","51","LowSESManipulation",2.5625,4.8,4.6,2,4.25,5.25,5.5,4.25,2
"271","18","Female","White","Spiritual",5,12,"Some College","Homeless","Drug addicts","Alcoholics ","6","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.125,4.8,5.8,1.5,4.625,5.5,5,4.5,3.5
"272","19","Female","White","Atheist",2,9,"Bachelor's Degree","entrepreneurs ","come from privileged families","those who hold power","6","80","69","80","65","79","80","75","78","77","LowSESManipulation",2.25,6.4,6.4,1,3.875,3.75,4.5,4,3.25
"273","43","Female","White","Other Christian",5,7,"High School Diploma","Doctors","Scientists ","Investors","3","90","90","90","90","90","90","90","90","90","LowSESManipulation",4.0625,4.4,3.8,2.16666666666667,4.0625,4.25,4.25,4.5,3.25
"274","19","Female","White","Catholic",7,9,"Master's Degree","politicians ","first class","government","4","100","100","100","100","100","100","100","96","95","LowSESManipulation",3.875,3,4.5,2.16666666666667,3.8125,4,4.25,4.75,2.25
"275","18","Female","White","Agnostic",3,11,"Master's Degree","minority groups","immigrants","the homeless","6","97","44","88","54","77","100","77","91","92","HighSESManipulation",2.5625,6.4,5.6,1.5,3.375,3.25,3.25,3.25,3.75
"276","18","Female","White","Agnostic",2,5,"Some College","those who make profit off of exploiting a system/workers","those of political power","those born into families with great wealth","5","50","50","50","50","50","50","50","50","50","LowSESManipulation",1.375,6.4,4.6,1,4.5,5.25,7,4.75,1
"277","18","Female","White","Spiritual",2,4,"Some College","unemployed","People who live in poverty houses","People who uses welfare and work a job that pays min. wage","4","100","93","100","47","100","100","100","59","100","HighSESManipulation",2.125,5.6,4.2,2,4.125,4,4.5,4,4
"278","18","Female","White","Catholic",3,9,"Associate's Degree","Prisioners","Homeless Individuals","Addicts","5","100","85","100","70","100","100","95","100","100","HighSESManipulation",2.125,6.4,6,1.33333333333333,3.625,3,3.25,4.25,4
"279","18","Female","White","Catholic",5,11,"Associate's Degree","Surgeons","Doctors","President","3","90","90","74","94","80","83","85","38","90","LowSESManipulation",1.6875,5.4,4.6,2.16666666666667,5.5,7,6.25,5,3.75
"280","20","Female","White","Spiritual",3,9,"Some College","Native Americans","Homeless/poor","Black people","7","60","40","60","30","50","60","50","60","60","HighSESManipulation",1.125,7,6.4,1,4.5625,3.5,6.75,3.75,4.25
"281","18","Female","White","Other Christian",8,6,"Master's Degree","President","Politicans ","Celebrities ","3","77","78","73","80","74","69","82","72","74","LowSESManipulation",3.13333333333333,4.2,3.6,3.5,3.875,4.5,4.25,4,2.75
"282","18","Female","White","Catholic",6,12,"Master's Degree","men","white people","straight people","7","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.375,4.8,6.2,1,4.375,5.25,6.25,3.5,2.5
"283","19","Female","White","Other Christian",7,10,"Associate's Degree","homeless people","drug addicts","unemployed people","5","75","75","75","75","75","60","75","75","75","HighSESManipulation",3.25,5,4.4,2.83333333333333,4.4375,5,5.25,4.5,3
"284","18","Female","White","Prefer Not To Answer",5,10,"Bachelor's Degree","government officials ","very successful business owners (like elon musk)","professional athletes ","3","100","100","100","95","90","85","85","75","60","LowSESManipulation",2.4375,5.8,5.8,2.5,4.375,4.5,3.75,4.75,4.5
"285","18","Female","White","Other Christian",3,10,"Master's Degree","political persons","higher paying job employees","judges","6","100","70","100","100","100","100","97","93","87","LowSESManipulation",3.4375,4,5.8,1.5,3.75,3.75,3.25,4.25,3.75
"286","18","Female","White","Judaism",2,8,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","homeless people","road side workers","if you have a disability that makes it hard to learn or work","7","100","64","99","81","100","100","74","84","69","HighSESManipulation",3.875,5.8,6.8,1,4,3.75,4.25,4,4
"287","18","Female","White","Atheist",3,5,"Master's Degree","Undocumented immigrants ","people who practice islam ","Black people ","9","100","12","100","40","50","100","77","96","77","HighSESManipulation",2.3125,6.8,6.8,2.5,3.5625,3,4,4.5,2.75
"288","18","Male","White","Catholic",8,4,"Master's Degree","People who are at the top of this ladder are definitely people who work hard, and have complete dedication to their job or education. They could have been provided some sort of money from family or not, however, they worked hard to earn there spot on that ladder, money wise. ","A kid who was born into a very wealthy family, and taught the work ethic along with the strategies of their past predecessors and was able to stay at that level.","A person who was gifted with athletic ability and work ethic, who was able to go professional and able to provide their kids the education and money needed.","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",3.125,1,2.2,5,5.6875,7,7,7,1.75
"289","19","Male","White","Protestant Christian",8,10,"Some College","Doctors","Lawyers","Politicians","6","74","100","76","100","100","81","89","51","46","LowSESManipulation",2.875,5.8,5.6,2.66666666666667,6.125,7,6.5,7,4
"290","18","Female","White","Spiritual",1,10,"Some College","homeless","single moms with no help ","foster kids ","5","100","86","100","43","100","100","100","100","100","HighSESManipulation",1.375,7,5.6,1.16666666666667,3.125,4.25,2.75,4.5,1
"291","45","Female","White","Other Christian",5,8,"High School Diploma","Poverty class","Blue Collar ","Single parent homes. ","5","96","95","96","96","98","98","98","96","92","HighSESManipulation",1.5,3.2,4.8,2,3.5,4.25,4.5,3.75,1.5
"292","45","Female","White","Other Christian",5,8,"High School Diploma","Poverty - no to low income","Single parent home","Blue collar workers","5","96","97","96","98","97","97","98","97","98","LowSESManipulation",1.0625,1.8,5.2,3.66666666666667,3.9375,4,4.5,4,3.25
"293","18","Female","White","Catholic",8,7,"Master's Degree","lower class","people with just a GED in some cases ","janitors ","7","91","92","92","92","92","89","92","91","91","HighSESManipulation",3.625,1,1.6,4.5,4.5625,6,5,5,2.25
"294","20","Male","White","Other Christian",8,11,"Master's Degree","Wealthy","Educated","Intelligent","7","50","50","50","50","50","50","50","50","50","LowSESManipulation",3.5,1.2,1,2.5,3.0625,4.75,3.25,3.25,1
"295","19","Female","White","Catholic",7,12,"Bachelor's Degree","CEO's of companies","High paying jobs that required a lot of school","movie stars ","6","100","100","100","100","100","100","100","100","100","LowSESManipulation",4.125,4.6,2.8,2.83333333333333,4.5625,6.25,4.75,6.25,1
"296","18","Female","White","Other Christian",5,8,"Bachelor's Degree","homeless ","possibly have a very poor household with low paying jobs","can’t go to school","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.625,5.6,6,1.33333333333333,4.1875,5.25,3.75,4.5,3.25
"297","19","Female","White","Atheist",4,9,"Associate's Degree","Government ","Celebrities ","Large Business owners ","7","100","100","100","60","100","100","100","100","100","LowSESManipulation",2.8125,4.4,1.4,1.5,5.75,7,6,6,4
"298","18","Female","White","Agnostic",2,12,"Bachelor's Degree","Typically minorities ","People who grew up with parents who were also ""at the bottom of the ladder""","People that did not grow up with adequate socialization/parenting","7","100","85","100","35","100","100","100","100","100","HighSESManipulation",2.375,7,7,1,3.75,3.25,4.75,4.25,2.75
"299","19","Female","White","Atheist",2,12,"Bachelor's Degree","homeless ","poor","uneducated","5","100","100","100","50","100","100","100","100","100","HighSESManipulation",2.5625,5.8,5,2.16666666666667,4.1875,4.25,4.5,4,4
"300","18","Female","White","Other Christian",4,10,"High School Diploma","homeless people","fast food workers","people with no jobs","4","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.5625,6.8,6.8,2.33333333333333,4.25,4.75,5,5,2.25
"301","18","Female","White","Other Christian",3,11,"Bachelor's Degree","The President","Jeff Bezos","surgeons","3","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.4375,2.6,6.8,2.33333333333333,4.8125,6.25,5.75,4,3.25
"302","21","Female","White","Protestant Christian",4,4,"Some College","Billionaires ","Politicians ","Celebrities ","2","90","90","91","83","92","91","92","91","92","LowSESManipulation",1.75,4.6,2.6,1.83333333333333,4.0625,4.75,3.5,6,2
"303","19","Male","White","Atheist",2,8,"Associate's Degree","People in poverty ","Citizens of 3rd world countries ","Minority groups","6","75","62","68","64","66","90","71","95","90","HighSESManipulation",2.8125,5.8,5.4,2,3.375,3.5,3.75,3.5,2.75
"304","19","Female","White","Agnostic",2,8,"High School Diploma","Unemployed individuals","Homeless individuals","Minorities","5","100","100","100","50","100","100","100","100","100","HighSESManipulation",1.9375,6,5.4,1.16666666666667,3.8125,3.75,4.75,4.5,2.25
"305","19","Female","White","None ",5,6,"Bachelor's Degree","People who don't have money","People who don't fit in with specific groups ","People who don't socialize ","10","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.3125,2.2,5.8,1,4.375,3.5,6.75,6.25,1
"306","19","Female","White","Protestant Christian",6,9,"Bachelor's Degree","This girl in high school here parents give her everything she touches. She a brat and and just mean overall as a person .","some girl brought a better show and tell toy than me and I felt below her in a way.","when we would play white elephant every year with family and I always got the weird gifts that the uncles would bring, and it was very annoying seeing my sister open like a  gift cars and phone cases while I open a cane opener.","5","100","100","100","100","100","80","100","100","100","LowSESManipulation",4,4,3.8,1,4,4,4,4,4
"307","22","Female","White","Other Christian",2,10,"Bachelor's Degree","Politicians","Doctors","CEOs","6","81","81","81","61","83","80","82","81","82","LowSESManipulation",1.375,7,5.2,1.16666666666667,4.9375,5.5,6,5.5,2.75
"308","18","Female","White","Atheist",5,11,"Associate's Degree","homeless people","poor people","foster kids","6","80","80","80","80","80","80","80","80","80","HighSESManipulation",1.9375,4.8,4.2,2.16666666666667,3.9375,4,4.5,4,3.25
"309","21","Female","White","Agnostic",2,12,"Bachelor's Degree","Undocumented Immigrants ","People living in poverty","Older veterans","8","70","50","70","30","90","80","70","70","60","HighSESManipulation",3.4375,5.6,5.6,1.33333333333333,3.875,4,4.25,4,3.25
"310","18","Female","White","Prefer Not To Answer",5,11,"Bachelor's Degree","government officials ","celebrities ","professional athletes ","4","100","100","100","100","100","100","100","100","100","LowSESManipulation",3.1875,5,4.4,3,4.75,5.25,4.5,4.75,4.5
"311","18","Female","White","Other Christian",5,12,"Bachelor's Degree","homeless people","people in poverty","people will low income ","7","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.8125,7,6,1,4.5625,4.5,5,4.75,4
"312","18","Male","White","Catholic",5,12,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","Bill Gates","Elon Musk","Jeff Bezos","5","50","50","50","50","50","50","50","50","50","LowSESManipulation",1.33333333333333,3.2,1.4,2.33333333333333,3.625,4.75,3,3.75,3
"313","18","Male","White","Catholic",5,12,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","Elon Musk","Jeff Bezos","Bill Gates","5","50","60","40","60","50","50","60","50","60","LowSESManipulation",1.875,2.8,2.2,2.16666666666667,3.4375,4.75,4,4,1
"314","18","Female","White","Atheist",2,12,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","Working Class","People who grew up poor","Discriminated against, ex. black, hispanic, disabled","6","100","97","100","100","100","100","100","100","100","HighSESManipulation",1.875,5.8,7,1,4.4375,4.25,7,4,2.5
"315","18","Female","White","Catholic",7,8,"Bachelor's Degree","people in poverty","homeless","neglected","5","72","100","43","99","52","44","46","48","49","HighSESManipulation",3.5,4.2,4.8,4,4.125,4.25,4.25,5,3
"316","18","Female","White","not religious",5,8,"Bachelor's Degree","Joe Biden ","High Class","","4","100","100","100","100","100","100","100","100","100","LowSESManipulation",4.0625,2.4,4.4,1.16666666666667,4.4375,5.25,5.5,5.75,1.25
"317","18","Female","White","Spiritual",5,12,"Master's Degree","one example would be a person that does not have money. though I wasn't raised privileged, I recognize that I was able to have a home, never worry about food, etc. there are definitely people that do not have those luxuries","a good school is another examples. based on where you live in the US or in the world for that matter, there are different levels of school. though high school is high school, you may go to a really good high school and you may go to a bad one. this can affect your ability to succeed in college or what every you do after high school, affecting the rest of your life","you may grow up in a home without true parents. this is definitely hard because if you don't have a constant in your life, you may struggle with other aspects of your life and you don't get the chance to learn from your parents","7","50","29","50","60","50","50","50","50","62","HighSESManipulation",1.6875,5,6,1.33333333333333,3.6875,3.5,5.5,3.75,2
"318","19","Female","White","Spiritual",2,7,"High School Diploma","Homeless individuals","Unemployed individuals","minorities","5","100","100","100","50","100","100","100","100","100","LowSESManipulation",1.875,6.2,6,1.33333333333333,5,5,5.25,6,3.33333333333333
"319","30","Female","White","Prefer Not To Answer",5,3,"Less Than High School","owners of companies","social workers","accountants","4","100","50","100","20","100","100","100","35","40","LowSESManipulation",1.1875,3,5.6,3.5,4,3.5,4,4,4.5
"320","18","Female","White","Agnostic",1,9,"Bachelor's Degree","Unemployed people","Those without a high school diploma","Homeless people","6","100","71","100","21","100","100","100","100","100","HighSESManipulation",1.75,7,4.8,1,4.6875,5.5,7,4.5,1.75
"321","19","Female","White","Judaism",5,12,"Master's Degree","income ","education level ","unemployed ","5","100","100","100","100","100","100","100","30","30","HighSESManipulation",2,2.2,6.6,2.66666666666667,5.5,7,4.75,6.25,4
"322","19","Female","White","Catholic",6,11,"Some College","Famous people (idols,Musicians,etc) ","Business men (High class men)","politicians ","4","100","100","100","100","100","100","100","82","13","LowSESManipulation",4.25,1.8,4,1.5,3.5,5.75,5,2,1.25
"323","18","Female","White","Other Christian",3,4,"High School Diploma","Homeless people","People in low income areas","War veterans ","5","100","70","100","50","100","100","90","30","30","HighSESManipulation",1.25,6.2,6.8,1,3.5,2.5,3.5,5.5,2.5
"324","18","Female","White","Protestant Christian",4,12,"Bachelor's Degree","Doctors","Lawyers","Politicians","6","81","81","81","81","81","67","76","73","73","LowSESManipulation",2.6875,5.6,4.4,3.33333333333333,4.625,5,4.75,5,3.75
"325","18","Female","White","Catholic",8,7,"Master's Degree","actors ","successful business men ","famous people ","6","96","96","96","96","95","95","94","92","94","LowSESManipulation",3.75,1.2,2,4.33333333333333,4.8125,5.75,5,5.75,2.75
"326","20","Female","White","Other Christian",5,11,"Bachelor's Degree","poor lower-class","no college degree","drop out","7","59","85","1","100","5","20","6","1","0","HighSESManipulation",1,5.4,7,1.16666666666667,3.8125,3.5,4.75,4,3
"327","18","Female","White","deist",2,9,"High School Diploma","people who are affluent/ have a high income","wealthy white men","children of financially successful parents","6","90","90","90","35","90","91","92","95","96","LowSESManipulation",1.1875,7,7,1.16666666666667,4.5625,3.75,6.25,4.75,3.5
"328","19","Female","White","Catholic",4,11,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","working class","minorities ","underclass","6","90","90","90","90","90","90","90","90","90","HighSESManipulation",1.75,5.6,5.6,1.66666666666667,4.5625,4.75,4.75,5,3.75
"329","18","Female","White","Atheist",2,8,"Master's Degree","incarcerated individuals ","children","people without housing","5","100","100","100","75","100","100","75","100","100","HighSESManipulation",1.0625,6.8,5.6,1,5.125,5.5,6.25,6.25,2.5
"330","18","Female","White","Catholic",5,11,"Bachelor's Degree","rich people","people with good homes","doctors","7","100","100","100","100","100","100","100","68","33","LowSESManipulation",1.125,4,4,4,4.875,6.25,5.75,5.5,2
"331","20","Non-Binary","White","Spiritual",3,11,"Associate's Degree","","","","4","100","43","100","95","100","100","70","100","100","LowSESManipulation",1.25,6.6,6.4,1,3.8125,2.75,5,4.5,3
"332","18","Male","White","Other Christian",2,6,"Less Than High School","World Leaders","The top 1%","Big Corporate CEOs","2","100","48","100","87","100","100","100","100","23","LowSESManipulation",1.5,6.8,7,1.66666666666667,3.1875,1.5,2.5,2.75,6
"333","19","Female","White","Prefer Not To Answer",5,6,"Some College","Rich (inventors, business people, etc.)","Celeberties","Politicians ","4","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.0625,4.6,6.8,1.16666666666667,4.25,4.25,6.5,5.25,1
"334","18","Female","White","Other Christian",3,12,"Bachelor's Degree","uneducated minorities ","female minorities ","homeless people ","9","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.5,6.6,6.2,1.33333333333333,5.6875,6.5,6.75,6.75,2.75
"335","19","Female","White","Prefer Not To Answer",2,10,"Master's Degree","Doctors ","Caucasian people get generally favored in society, not saying that is right though","Executives of large corporations, men tend to be favored","8","99","90","95","85","99","99","99","99","99","LowSESManipulation",1,6.2,4.8,1.16666666666667,3.6875,4.5,4.5,4,1.75
"336","19","Female","White","Agnostic",3,9,"Some College","African Americans","Immigrants ","Single moms ","4","83","60","50","20","50","90","50","90","80","HighSESManipulation",1.5,7,6.2,1,4.25,4.5,6,4.5,2
"337","43","Female","White","Other Christian",5,7,"High School Diploma","Doctors","Scientist ","Bankers","3","90","90","90","90","90","90","90","90","90","LowSESManipulation",2.5,1,1,2.33333333333333,3.875,4,5,5.5,1
"338","18","Female","White","Prefer Not To Answer",4,7,"Some College","famous people ","doctors ","business people","2","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.25,5.2,4.2,1.83333333333333,3.4375,4.25,3.25,3.75,2.5
"339","18","Male","White","Catholic",5,10,"Master's Degree","People of color sometimes get the short end of the stick in society one example of this is from red lining which is still affecting them today.","The homeless are at the bottom because they have gotten to the point where they cannot find their next meal or hold a stable job especially when mental illness plays a part.","Another group at the bottom are the ones with drug addictions because most do not receive help. They end up going homeless and losing their families and society completely forgets about them.","7","100","100","100","100","100","100","100","100","50","HighSESManipulation",2.4375,4,3.2,2.66666666666667,4.3125,6.25,4.25,5.25,1.5
"340","18","Female","White","Judaism",2,7,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","poor people","homeless","someone with out a lot of education ","6","100","63","81","84","100","100","91","84","78","HighSESManipulation",3.125,5.8,5,1,3.9375,4,4.25,3.5,4
"341","21","Female","White","Protestant Christian",7,5,"High School Diploma","Billionaires ","Federal government officials ","A list celebrities","3","100","100","100","100","100","50","100","100","100","LowSESManipulation",1.3125,2.2,1,3.33333333333333,5.125,7,5.5,7,1
"342","18","Female","White","Catholic",5,11,"Master's Degree","Homeless","Criminals ","Drug addicts","7","100","100","100","100","100","91","88","87","87","HighSESManipulation",1.625,4.2,6.2,2.33333333333333,4.1875,5.25,5.75,2.75,3
"343","19","Female","White","Catholic",5,12,"Bachelor's Degree","CEO of companies","People who have inherited money","social media influencers","7","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.4375,6.8,6.4,1.16666666666667,4.25,4.75,5.25,4.75,2.25
"344","18","Female","White","Spiritual",2,7,"Master's Degree","Homeless people","People with no access to education","Children in the adoption system with no family to support them","10","100","88","100","84","90","100","92","91","95","HighSESManipulation",1.8125,6.4,6.6,1,2.625,2.75,2.75,4,1
"345","18","Male","White","Catholic",5,10,"High School Diploma","Political leaders","Big CEO's ","Pop culture heroes","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.375,5.2,3.8,1.5,3.8125,4.5,4.25,4.5,2
"346","18","Female","White","Agnostic",2,11,"Master's Degree","white men ","heterosexual people ","christians ","4","100","60","100","40","100","100","50","100","70","LowSESManipulation",1.125,7,6.6,1,5,4.25,5.5,5.75,4.5
"347","19","Female","White","Spiritual",1,11,"Some College","children born with drug addictions","people who are disabled with no help","racial minorities","7","100","100","100","100","100","100","100","100","100","HighSESManipulation",1,6.4,6.8,1,3.3125,2,4.25,3,4
"348","22","Male","White","Agnostic",3,9,"Bachelor's Degree","Illegal immigrants","Impoverished appalachians","Impoverished inner-city families","8","90","70","70","70","90","100","90","100","80","HighSESManipulation",1,7,6,1,4.25,3.75,5,4.25,4
"349","19","Female","White","Evangelical Christian",8,12,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","Politicians","Millionaires","Businessmen","6","80","80","30","80","70","20","80","50","20","LowSESManipulation",4,1.2,1,5.33333333333333,4.75,6.75,4,7,1.25
